epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,462.092,3.7434,3.68528,4.06171,0.00347,0.18521,0.0069,0.00248,3.93578,4.44004,4.32836,0.000550054,0.000550054,0.000550054
2,964.772,3.24221,3.36514,3.41824,0.03739,0.07784,0.01805,0.00466,3.07036,3.72391,3.27146,0.00109477,0.00109477,0.00109477
3,1483.91,2.96635,3.1878,3.03772,0.06254,0.08404,0.02795,0.00889,2.86972,3.55536,2.97964,0.00162849,0.00162849,0.00162849
4,1970.55,2.74321,3.03906,2.79607,0.12846,0.12251,0.05715,0.01719,2.65298,3.02038,2.77172,0.00161749,0.00161749,0.00161749
5,2519.65,2.62694,2.87606,2.63924,0.11507,0.13255,0.05428,0.01611,2.74249,3.34373,2.75942,0.00160099,0.00160099,0.00160099
6,3046.75,2.50586,2.81458,2.53948,0.26649,0.16832,0.10484,0.03505,2.51305,2.88739,2.63628,0.00158448,0.00158448,0.00158448
7,3574.13,2.39967,2.68759,2.43875,0.27686,0.16519,0.1259,0.04442,2.44906,2.78682,2.58228,0.00156798,0.00156798,0.00156798
8,4108.6,2.32219,2.59323,2.37672,0.26649,0.22757,0.16101,0.0595,2.33668,2.56112,2.43704,0.00155148,0.00155148,0.00155148
9,4649.68,2.25873,2.48969,2.29764,0.28667,0.22221,0.17103,0.06517,2.37294,2.60122,2.49887,0.00153497,0.00153497,0.00153497
10,5176.55,2.22708,2.44221,2.28293,0.31469,0.2408,0.19713,0.0764,2.33383,2.47238,2.39448,0.00151847,0.00151847,0.00151847
11,5709.1,2.1907,2.38661,2.21966,0.35682,0.26884,0.22415,0.0895,2.26298,2.4372,2.38412,0.00150197,0.00150197,0.00150197
12,6237.89,2.15378,2.37199,2.21471,0.32854,0.2589,0.21803,0.09036,2.24128,2.46399,2.30784,0.00148546,0.00148546,0.00148546
13,6765.01,2.11828,2.30766,2.16676,0.41547,0.28183,0.2622,0.11338,2.17413,2.34041,2.28015,0.00146896,0.00146896,0.00146896
14,7287.88,2.11669,2.30078,2.16067,0.38166,0.31158,0.28091,0.12012,2.17323,2.23532,2.25513,0.00145246,0.00145246,0.00145246
15,7810.51,2.09849,2.23304,2.11294,0.42323,0.29178,0.28367,0.1191,2.20084,2.29493,2.23159,0.00143595,0.00143595,0.00143595
16,8325.34,2.06346,2.22741,2.09287,0.41912,0.31712,0.28652,0.12346,2.10988,2.20723,2.19913,0.00141945,0.00141945,0.00141945
17,8843.94,2.03005,2.16365,2.07105,0.44681,0.31835,0.3167,0.14127,2.08999,2.13835,2.18279,0.00140295,0.00140295,0.00140295
18,9360.15,2.0394,2.15321,2.05205,0.44732,0.31074,0.31513,0.14147,2.15286,2.14514,2.21321,0.00138644,0.00138644,0.00138644
19,9883.47,2.0261,2.12883,2.03265,0.45596,0.33173,0.33164,0.15228,2.05799,2.13328,2.12962,0.00136994,0.00136994,0.00136994
20,10401,1.98944,2.10571,2.01224,0.50526,0.33604,0.35258,0.15852,2.06486,2.07566,2.12965,0.00135344,0.00135344,0.00135344
21,10920.9,1.96365,2.09808,2.00487,0.43999,0.30623,0.29871,0.12704,2.14256,2.16887,2.21401,0.00133693,0.00133693,0.00133693
22,11441.2,1.98602,2.0768,2.01308,0.51769,0.35609,0.36702,0.17018,2.03923,2.04654,2.09309,0.00132043,0.00132043,0.00132043
23,11967.8,1.95525,2.04368,1.98711,0.50418,0.35341,0.36296,0.16601,2.04619,2.07957,2.09861,0.00130393,0.00130393,0.00130393
24,12491.5,1.9475,2.02103,1.96697,0.51018,0.35122,0.36805,0.16736,2.02984,2.01795,2.08124,0.00128742,0.00128742,0.00128742
25,13013.3,1.93609,2.01558,1.95456,0.50354,0.33321,0.35532,0.16483,2.07198,2.18866,2.09421,0.00127092,0.00127092,0.00127092
26,13531.2,1.93085,2.00251,1.96114,0.5103,0.37667,0.38632,0.18173,2.00071,1.97454,2.05502,0.00125442,0.00125442,0.00125442
