epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.078,4.02615,3.57618,3.79629,0.00042,0.01399,0.00038,0.00012,4.8034,4.51805,4.33088,0.000655367,0.000655367,0.000655367
2,608.069,2.75859,2.15402,2.43375,0.00642,0.08322,0.00401,0.00113,4.343,4.25657,4.09407,0.00130895,0.00130895,0.00130895
3,908.662,2.34844,1.70759,1.92796,0.58447,0.54336,0.50122,0.20426,2.09368,1.54849,1.82915,0.00194932,0.00194932,0.00194932
4,1203.33,2.13701,1.44594,1.71042,0.64644,0.63217,0.62548,0.27087,1.98399,1.46261,1.68698,0.0019406,0.0019406,0.0019406
5,1503.88,2.0024,1.3253,1.60776,0.7029,0.65874,0.68285,0.3398,1.79106,1.27707,1.55633,0.0019208,0.0019208,0.0019208
6,1798.2,1.90728,1.24377,1.55977,0.71311,0.6986,0.73454,0.36839,1.71585,1.27456,1.52393,0.001901,0.001901,0.001901
7,2095.74,1.79874,1.11875,1.46302,0.73249,0.71804,0.76412,0.39094,1.6799,1.12971,1.5048,0.0018812,0.0018812,0.0018812
8,2395.08,1.76282,1.10555,1.44662,0.75917,0.75833,0.81939,0.42112,1.66333,1.02484,1.46793,0.0018614,0.0018614,0.0018614
9,2690.51,1.68823,1.0285,1.40971,0.80265,0.78182,0.83924,0.45382,1.64163,0.99811,1.41825,0.0018416,0.0018416,0.0018416
10,2986.17,1.63938,0.96352,1.35168,0.80335,0.77832,0.84781,0.44565,1.58196,0.96314,1.42403,0.0018218,0.0018218,0.0018218
11,3283.54,1.60752,0.93586,1.34607,0.80472,0.82867,0.87755,0.51838,1.41989,0.85235,1.32564,0.001802,0.001802,0.001802
12,3579.93,1.55084,0.88998,1.32367,0.81905,0.80979,0.88349,0.52425,1.39931,0.83638,1.32214,0.0017822,0.0017822,0.0017822
13,3884.11,1.53102,0.86492,1.30139,0.85488,0.78679,0.89054,0.50088,1.5138,0.84008,1.36758,0.0017624,0.0017624,0.0017624
14,4197.47,1.54007,0.86049,1.30606,0.8289,0.83002,0.90388,0.51949,1.43655,0.82928,1.32808,0.0017426,0.0017426,0.0017426
15,4495.02,1.47986,0.82375,1.27083,0.83753,0.81329,0.88712,0.52481,1.40258,0.81257,1.31968,0.0017228,0.0017228,0.0017228
16,4782.62,1.4595,0.81561,1.26585,0.85908,0.82701,0.90751,0.55256,1.34381,0.74508,1.28995,0.001703,0.001703,0.001703
17,5070.23,1.44905,0.79892,1.27551,0.83493,0.82448,0.90322,0.55616,1.32956,0.75636,1.28002,0.0016832,0.0016832,0.0016832
18,5360.94,1.43531,0.78614,1.24806,0.8238,0.85335,0.90118,0.5382,1.39559,0.76857,1.30251,0.0016634,0.0016634,0.0016634
19,5648.74,1.42138,0.77635,1.25588,0.86913,0.84196,0.90907,0.57231,1.30186,0.74434,1.25187,0.0016436,0.0016436,0.0016436
